product_id|model|label|description|category_id|brand|image|status
1000256|83574 series|interrupteur à bascule / multipolaire / action momentanée|TYPETriggers<br> ActionMomentary<br> ConnectionsFast-sur<br> Soudure|40302|crouzet|1545131220621-ba5a1c24-1bde-451f-becd-f6803681e20f|DONE
1000257|8421 series|interrupteur de sélection / à bascule / multipolaire|› Starwheel ou modèles de pushwheel<br> Choix de› des codes de sortie avec 10 ou 16 positions de commutation<br> › Rupture-dans le support de panneau avant pour l'installation facile<br> Gamme de› des dimensions normalisées pour adapter la plupart des découpes des panneaux<br> Grands caractères d'affichage de› pour la lecture facile<br> Grâce de changement du sérieux élevé de› aux contacts plaqués par or<br> Longue durée même de›<br> Choix de› de monter des accessoires : rupture-dans des endcaps,<br> entretoises et connecteurs|40303|crouzet|1545131225546-4032a76a-4c30-45a3-95a5-cd9517410a78|DONE
1000258|CARLO GAVAZZI|commutateur rotatif / de sélection / multipolaire / électromécanique|Carlo Gavazzi offre une gamme complète de boutons-poussoirs et voyants lumineux. Nos boutons poussoirs vraiment facile à installer et à utiliser répondent à toutes les exigences des tableautiers et aux fabricants déquipements industriels. Carlo Gavazzi propose également une large sélection de voyants LED offrant une durée de vie des plus de 100.000 heures. En plus d'une vaste sélection de couleurs, il existe différents types de lentilles et de styles, qui les rendent aptes pour la plupart des applications. Nous proposons également des voyants à multi-couleurs ainsi que des avertisseurs clignotants.|40303|CARLO GAVAZZI|1545131230298-66d376e8-6c52-49d7-923e-15132e96b433|DONE
1000259|83452|interrupteur à levier / unipolaire / 2 pôles / IP40|Boutons de TYPEMultiway<br> ActionMomentary<br> ConnectionsSolder|40304|crouzet|1545131235331-d30ccff3-8ff8-4818-834a-0354cf34d7b9|DONE
1000260|83450,83451,83453 series|interrupteur tactile / unipolaire / 2 pôles / action momentanée|TYPESubminiature<br> ActionMomentary<br> ConnectionsSolder|40305|crouzet|1545131239958-0535a1ce-15df-4a18-aaef-89eeaacb9ebd|DONE
1000261|80 series|relais temporisé multifonction / à montage sur rail DIN / pour applications industrielles / ajustable|Fonctions et caractéristiques:<br> <br> Multifonction<br> Monofonction<br> <br> Largeur 17.5mm<br> Six plages de temps, de 0.1s à 24h<br> Multitension<br> Isolement élevé entrée/sortie|40323|finder|1545131246558-91665ae7-5cb6-40c1-88bf-7e19af0f9085|DONE
1000262|81 series|relais temporisé multifonction / à montage sur rail DIN / ajustable|Funzioni e caratteristiche:<br> <br> Multifonction et multitension<br> <br> Largeur 17.5mm<br> Sept fonctions (4 avec commandeinterne et 3 avec commande externe)<br> Six plages de temps, de 0.1s à 10h<br> 1 contact inverseur<br> Montage sur rail 35 mm (EN 60715)|40323|finder|1545131251921-1af9548c-645d-4e49-8ee6-91a7ba3dd637|DONE
1000263|84 series|relais temporisé numérique / multifonction / à montage sur rail DIN / programmable|SMARTimer, minuterie numérique 16A<br> <br> Deux modes 100 (par l'intermédiaire du smartphone avec la communication de NFC ou par l'intermédiaire de la manette)<br> Affichage rétro-éclairé large<br> Multifonctionnel (25 fonctions disponibles sur chaque canal)<br> Unités de temps ; 0,1 secondes, secondes, minutes, heures<br> 1 Co (16 A) + 1 Co (16 A) contacts de sortie|40323|finder|1545131257128-c4b760e2-93c1-4d2f-8224-666f243e0fa0|DONE
1000264|MDA2R10MV2|temporisateur numérique / multifonction / monté en panneau|Grand écran de LED ou d'affichage à cristaux liquides (13,2 millimètres)<br> › Multifonctionnel et simple-fonction<br> Modes de base et anticipés de› de configuration<br> › Multigamme (0,05 s – 9999 h)<br> Multi-tension de› (24-240 V AC/DC)<br> sorties de relais du› 1 ou 2 (changement)<br> Option de mémoire de› dans l'événement d'une coupure dans l'approvisionnement<br> Fonction de serrure de›<br> › En haut ou en bas de la synchronisation<br> Le› DIN a classé (48x48 millimètre) le logement<br> Corps compact de› (63 millimètres de long)<br> L'eau de› et antipoussière (IP66)<br> connexions 8-Pins et 11-Pins de›|40323|crouzet|1545131266616-d9f1856f-6d14-4cfb-a7a5-d285244edfaf|DONE
1000265|Weidmüller|relais temporisé à montage sur rail DIN|Les relais temporisés sont utilisés dans les automatismes pour corriger les problèmes liés à l'augmentation croissante des fréquences d'horloge.<br> Les impulsions courtes sont prolongées pour être reconnues par les cartes d'entrées. <br> Différentes fonctions de temporisation comme la temporisation à la mise sous tension ou à la chute de tension, comme les générateurs d'impulsion et les commutateurs étoile-triangle sont disponibles.|40323|Weidmüller|1545131272689-9bfb307e-0be5-4ca0-a894-0b3f83d87f02|DONE
